Votes12,Votes16,otherpres_shift,democratic_shift,republican_shift,state,county,fips,trump16,trump_zero,clinton16,clinton_zero,otherpres16,otherpres16_ 0,romney12,romney_zero,obama12,obama_zero,otherpres12,otherpres12_0,demsen16,repsen16,othersen16,demhouse16,rephouse16,otherhouse16,demgov16,repgov16,othergov16,repgov14,demgov14,othergov14,total_population,cvap,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc
38.986080960,33.391771856,3.194656652,-5.594309104,2.399652452,Pennsylvania,Montour,42093,5288,True,2857,True,411,True,4652,True,3053,True,126,True,2898,5066,586,2871,5531,0,NA,NA,NA,2900,2123,0,18404,14330,92.333188437,1.722451641,2.396218213,7.666811563,3.238426429,51.988698109,33.797000652,19.990219517,55233,5.338396247,10.154145465,71.505537264,10.489789407,73.476388003,53.769091805,3
51.712242322,46.176464440,2.552572719,-5.535777882,2.983205163,Pennsylvania,Northampton,42095,71736,True,66272,True,5511,True,61446,True,67606,True,1683,True,64151,72172,3566,60430,73748,2192,NA,NA,NA,33337,40723,0,300520,230620,78.421402902,4.567083722,12.077066418,21.578597098,7.257087715,50.915080527,36.450485825,17.336616531,62753,6.683384143,9.576750817,72.126134689,8.017387384,71.195787259,12.768401431,2
39.359267735,26.727103927,1.969135870,-12.632163808,10.663027938,Pennsylvania,Northumberland,42097,25427,True,9788,True,1407,True,19518,True,13072,True,622,True,11117,21826,2592,10434,25333,0,NA,NA,NA,10396,10573,0,93590,74685,93.171278983,2.465006945,3.047334117,6.828721017,1.336681269,49.474302810,33.467250775,19.666631050,43701,6.777580799,14.181004666,84.978584990,13.523247691,84.778390127,34.860570413,4
29.720828105,21.892428396,2.612349620,-7.828399710,5.216050089,Pennsylvania,Perry,42099,15616,True,4632,True,910,True,13120,True,5685,True,323,True,4962,14898,1231,4617,16122,0,NA,NA,NA,8501,4204,0,45647,35270,95.962494797,0.858763993,1.684667119,4.037505203,1.296908888,49.624290753,35.507262252,15.865226630,58585,5.181368508,11.734391105,83.655557985,11.484206806,83.888692523,88.498770911,2
85.293781063,82.532421559,1.367565088,-2.761359504,1.393794417,Pennsylvania,Philadelphia,42101,108748,True,584025,True,14858,True,96467,True,588806,True,5054,True,560421,116714,8030,587147,61056,0,NA,NA,NA,44383,326646,0,1559938,1120330,35.267876031,41.552100148,13.767854876,64.732123969,13.071609256,52.696902056,43.594937748,12.521651502,39770,12.524008858,17.390838173,73.650280318,10.072655611,60.676133263,0,1
43.859272306,35.462242826,1.807184728,-8.397029480,6.589844752,Pennsylvania,Pike,42103,16056,True,9256,True,789,True,12786,True,10210,True,283,True,9329,15192,1113,8912,16369,0,NA,NA,NA,7453,5316,0,56210,43450,81.627824231,5.488347269,10.064045543,18.372175769,8.309909269,50.023127557,32.015655577,20.485678705,61199,9.857596104,9.254289864,74.703956277,8.718964914,74.854295372,70.761212502,1
26.194421431,16.726618705,1.393475112,-9.467802726,8.074327613,Pennsylvania,Potter,42105,6251,True,1302,True,231,True,5231,True,1897,True,114,True,1387,5990,323,1210,6459,0,NA,NA,NA,3136,1526,0,17239,13495,96.710946111,0.498868844,1.200765706,3.289053889,1.136956900,49.567840362,33.261790127,21.787806717,40921,5.777240360,12.5,84.951298701,12.458361093,84.976682212,100,9
42.520830807,26.674513671,1.772838416,-15.846317136,14.073478720,Pennsylvania,Schuylkill,42107,44001,True,16770,True,2098,True,32278,True,24546,True,903,True,19539,37757,4832,23262,38280,0,NA,NA,NA,17167,20541,0,145503,115570,92.055833900,2.599259122,3.586867625,7.944166100,1.847384590,48.939197130,32.725785723,19.239465853,46573,7.996438892,12.113562292,84.683785159,11.332641192,84.275620155,36.461234481,4
31.242501000,24.457617796,2.273699570,-6.784883204,4.511183634,Pennsylvania,Snyder,42109,11725,True,4002,True,636,True,10073,True,4687,True,242,True,4299,10867,1116,3843,12034,0,NA,NA,NA,5772,3982,0,40246,31225,95.269095065,0.916861303,2.146797197,4.730904935,1.361626000,50.449734135,39.651145455,16.819062764,51110,4.396299903,17.110108982,83.322059376,17.071653513,83.635939505,66.820311319,7
27.800365329,20.618902524,1.307804009,-7.181462805,5.873658795,Pennsylvania,Somerset,42111,27379,True,7376,True,1018,True,23984,True,9436,True,522,True,8340,25470,1923,8066,27578,0,NA,NA,NA,13145,9594,0,76201,61840,94.795343893,2.607577328,1.339877429,5.204656107,0.879253553,48.125352686,31.483838795,20.470859962,45424,6.652836194,12.857471305,84.533894558,11.973313952,84.247405005,70.802140413,4
